0,Latin America,Europe,Canada,Asia Pacific,Middle East,Africa,Mexico,Canribbean,United States
Air Canada,1,1,1,1,1,0,1,1,1
Air New Zealand,0,1,0,1,0,0,0,0,1
All Nippon Airways,0,1,0,1,0,0,0,0,1
Ansett Australia,0,0,0,1,0,0,0,0,0
The Austian Airlines Group,0,1,1,1,0,1,0,0,1
British Midland,0,1,0,0,0,0,0,0,0
Lufthansa,1,1,1,1,1,1,1,0,1
Mexicana,1,0,1,0,0,0,1,1,1
Scandinavian Airlines,1,1,0,1,0,1,0,0,1
Singapore Airlines,0,1,1,1,1,1,0,0,1
Thai Airways International,1,1,0,1,0,0,0,1,1
United Airlines,1,1,1,1,0,0,1,1,1
VARIG,1,1,0,1,0,1,1,0,1
